#,Player Name,Pos.,GP,G,A,Pts,PIM,#ERROR!,GP,G,A,Pts,PIM,Birthplace,Age
247,William Keane,G,17,0,0,0,0,0,--,--,--,--,--,MI: West Bloomfield,17
248,Sam Kappell,F,62,23,13,36,20,-8,11,1,1,2,2,WI: Appleton,18
249,Gustavs Griva,F,49,13,23,36,14,5,11,0,2,2,0,Latvia: Riga,18
250,Max Rider,F,58,16,17,33,45,1,11,0,4,4,2,MN: St. Louis Park,18
251,Gavin Uhlenkamp 1,F,39,15,15,30,6,13,--,--,--,--,--,MN: Chanhassen,19
252,Nolen Geerdes,D,61,6,23,29,77,-2,11,4,6,10,12,MN: Rogers,18
253,Caleb Pittsley,F,62,11,16,27,28,-5,11,3,1,4,4,MN: Edina,17
254,Michael Tang,F,57,9,18,27,10,-22,11,1,3,4,0,ONT: Toronto,16
255,Jet Kwajah,D,55,7,20,27,10,-10,11,0,1,1,4,ONT: Toronto,17
256,Jackson Nevers,C,54,8,18,26,63,-14,7,3,2,5,0,MN: Edina,20
257,Ronan Buckberger,D,44,7,18,25,30,3,--,--,--,--,--,SASK: Saskatoon,19
258,Stephen Cover,F,60,11,12,23,4,6,11,1,1,2,2,PA: Harrisburg,16
259,Tyden Bergeson,F,23,11,11,22,2,1,11,4,5,9,6,MN: Moorhead,18
260,John Stout,D,57,9,12,21,16,-4,11,1,5,6,4,MN: Minnetonka,19
261,Will Dosan,F,56,10,8,18,10,7,11,0,1,1,4,MN: Bloomington,19
262,Rihards Griva,F,49,5,10,15,22,-4,5,0,0,0,0,Latvia: Riga,18
263,Ville Vaarala,F,59,6,8,14,16,9,11,0,0,0,0,Finland: Tampere,19
264,Cooper Snee,F,50,5,9,14,54,12,8,0,1,1,4,NJ: Franklin Lakes,19
265,Harper Frey,D,52,0,14,14,32,8,11,2,1,3,4,WI: Madison,18
266,Chris Baird-Gajdos,D,49,3,10,13,64,-7,11,0,1,1,4,NY: New York,17
267,Dexter Brooks,D,56,0,12,12,119,7,11,0,1,1,0,MO: St. Louis,18
268,Lucas Prud'Homme,F,49,5,5,10,184,4,11,1,0,1,0,ONT: Ottawa,18
269,Austin Moline,D,17,1,8,9,46,11,--,--,--,--,--,NV: Las Vegas,19
270,Eero Butella 2,R,14,4,1,5,0,-11,11,2,1,3,4,IL: Chicago,19
271,Sammy Smith,F,14,2,1,3,2,2,--,--,--,--,--,IL: Homer Glen,18
272,Brady Smith,D,2,0,3,3,2,3,--,--,--,--,--,CO: Columbine Valley,18
273,Bode McConnell,F,2,1,1,2,2,2,--,--,--,--,--,MN: Edina,17
274,Caleb Heil,G,41,0,1,1,0,0,11,0,1,1,4,MN: Victoria,19
275,Cody Butikis,G,1,0,0,0,0,0,--,--,--,--,--,NJ: Sewell,20
276,Aiden Mowrey 3,D,1,0,0,0,0,0,--,--,--,--,--,PA: Wexford,16
277,Elliot Lennon,G,2,0,0,0,0,0,--,--,--,--,--,PQ: Kirkland,17
278,Braeden Waller,F,2,0,0,0,0,0,--,--,--,--,--,MN: Ostego,16
279,Colin Yandle,D,2,0,0,0,16,-1,--,--,--,--,--,MA: Dorchester,15
280,Bryce Wiitala,F,2,0,0,0,0,0,2,0,0,0,0,MN: Excelsior,18
281,Grady Anaka,F,3,0,0,0,0,1,--,--,--,--,--,ALTA: Edmonton,16
282,Brady Krey,G,8,0,0,0,0,0,--,--,--,--,--,MN: Albertville,18
283,Cameron Holyoke,D,10,0,0,0,2,1,--,--,--,--,--,MA: Boston,16
284,Cash Cruitt,G,12,0,0,0,0,0,--,--,--,--,--,MN: Andover,17
285,Luke Garry,F,57,21,40,61,76,11,6,1,2,3,2,MN: Minnetonka,20
286,William Tomko,C,59,24,36,60,115,0,6,2,4,6,0,PA: Venetia,18
287,Trey Jefferis,F,55,27,24,51,26,-3,6,1,3,4,0,PA: Hummelstown,20
288,Shayne Gould,D,60,12,39,51,14,-28,6,1,4,5,0,MA: Princeton,18
289,Dallas Vieau 1,F,43,15,15,30,63,-13,--,--,--,--,--,MN: Duluth,19
290,Elias Vatne,L,56,13,17,30,38,-8,6,0,2,2,0,Norway: Bergen,19
291,Gavin Garry,F,30,13,15,28,61,-4,6,3,0,3,6,MN: Minnetonka,19
292,Kyle O'Leary 2,F,32,13,15,28,12,15,6,0,3,3,4,MA: Medfield,19
